"Eastern Date Hour","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2015/01/01 00:00:00","CAPITL","61757","33.45","1.13","-11.71","1"
"2015/01/01 00:00:00","CENTRL","61754","21.89","-0.12","-1.41","1"
"2015/01/01 00:00:00","DUNWOD","61760","31.27","1.79","-8.88","1"
"2015/01/01 00:00:00","GENESE","61753","20.84","-0.86","-1.11","1"
"2015/01/01 00:00:00","HUD VL","61758","31.14","1.75","-8.79","1"
"2015/01/01 00:00:00","LONGIL","61762","43.73","2.6","-20.53","1"
"2015/01/01 00:00:00","MHK VL","61756","22.68","0.53","-1.54","1"
"2015/01/01 00:00:00","MILLWD","61759","31.4","1.85","-8.94","1"
"2015/01/01 00:00:00","N.Y.C.","61761","31.45","1.96","-8.89","1"
"2015/01/01 00:00:00","NORTH","61755","20.06","-0.54","0","1"
"2015/01/01 00:00:00","WEST","61752","20.77","-1.26","-1.43","1"
"2015/01/01 01:00:00","CAPITL","61757","26.9","1.11","-5.21","1"
"2015/01/01 01:00:00","CENTRL","61754","21.06","-0.14","-0.63","1"
"2015/01/01 01:00:00","DUNWOD","61760","26.34","1.81","-3.95","1"
"2015/01/01 01:00:00","GENESE","61753","20.19","-0.88","-0.49","1"
"2015/01/01 01:00:00","HUD VL","61758","26.25","1.77","-3.9","1"
"2015/01/01 01:00:00","LONGIL","61762","41.16","2.59","-17.99","1"
"2015/01/01 01:00:00","MHK VL","61756","21.76","0.49","-0.69","1"
"2015/01/01 01:00:00","MILLWD","61759","26.41","1.85","-3.97","1"
"2015/01/01 01:00:00","N.Y.C.","61761","26.49","1.96","-3.95","1"
"2015/01/01 01:00:00","NORTH","61755","20","-0.58","0","1"
"2015/01/01 01:00:00","WEST","61752","19.98","-1.23","-0.64","1"
"2015/01/01 02:00:00","CAPITL","61757","25","1.08","-4.69","1"
"2015/01/01 02:00:00","CENTRL","61754","19.64","-0.15","-0.56","1"
