"Eastern Date Hour","Zone Name","Zone PTID","TWI Zonal LBMP","TWI Zonal Losses","TWI Zonal Congestion","TWI Zonal Price Version"
"2016/01/01 00:00:00","CAPITL","61757","89.14","-1.37","-109.57","4"
"2016/01/01 00:00:00","CENTRL","61754","-6.66","-0.05","-12.45","4"
"2016/01/01 00:00:00","DUNWOD","61760","61.47","-1.63","-82.15","4"
"2016/01/01 00:00:00","GENESE","61753","-8.32","0.66","-10.08","4"
"2016/01/01 00:00:00","HUD VL","61758","60.7","-1.63","-81.39","4"
"2016/01/01 00:00:00","LONGIL","61762","60.89","-2.27","-82.21","4"
"2016/01/01 00:00:00","MHK VL","61756","-4.26","-0.52","-15.31","4"
"2016/01/01 00:00:00","MILLWD","61759","61.94","-1.68","-82.68","4"
"2016/01/01 00:00:00","N.Y.C.","61761","61.48","-1.66","-82.2","4"
"2016/01/01 00:00:00","NORTH","61755","-18.47","0.59","0","4"
"2016/01/01 00:00:00","WEST","61752","-5.24","1.02","-12.79","4"
"2016/01/01 01:00:00","CAPITL","61757","90.34","-0.59","-99.44","4"
"2016/01/01 01:00:00","CENTRL","61754","2.83","-0.01","-11.36","4"
"2016/01/01 01:00:00","DUNWOD","61760","65.39","-0.64","-74.55","4"
"2016/01/01 01:00:00","GENESE","61753","0.93","0.27","-9.17","4"
"2016/01/01 01:00:00","HUD VL","61758","64.72","-0.66","-73.89","4"
"2016/01/01 01:00:00","LONGIL","61762","65.28","-0.81","-74.61","4"
"2016/01/01 01:00:00","MHK VL","61756","5.59","-0.23","-14.33","4"
"2016/01/01 01:00:00","MILLWD","61759","65.84","-0.66","-75.02","4"
"2016/01/01 01:00:00","N.Y.C.","61761","65.43","-0.64","-74.59","4"
"2016/01/01 01:00:00","NORTH","61755","-8.34","0.18","0","4"
"2016/01/01 01:00:00","WEST","61752","3.51","0.38","-11.64","4"
"2016/01/01 02:00:00","CAPITL","61757","24.22","-0.14","-26.43","4"
"2016/01/01 02:00:00","CENTRL","61754","0.94","0","-3.02","4"
"2016/01/01 02:00:00","DUNWOD","61760","17.57","-0.17","-19.82","4"
"2016/01/01 02:00:00","GENESE","61753","0.43","0.06","-2.44","4"
"2016/01/01 02:00:00","HUD VL","61758","17.4","-0.17","-19.65","4"
"2016/01/01 02:00:00","LONGIL","61762","17.53","-0.23","-19.83","4"
"2016/01/01 02:00:00","MHK VL","61756","1.73","-0.06","-3.86","4"
"2016/01/01 02:00:00","MILLWD","61759","17.7","-0.18","-19.94","4"
"2016/01/01 02:00:00","N.Y.C.","61761","17.58","-0.18","-19.83","4"
"2016/01/01 02:00:00","NORTH","61755","-2.02","0.06","0","4"
"2016/01/01 02:00:00","WEST","61752","1.11","0.09","-3.1","4"
"2016/01/01 03:00:00","CAPITL","61757","12.44","-0.08","-13.67","4"
"2016/01/01 03:00:00","CENTRL","61754","0.4","0","-1.57","4"
"2016/01/01 03:00:00","DUNWOD","61760","9","-0.09","-10.25","4"
"2016/01/01 03:00:00","GENESE","61753","0.13","0.03","-1.26","4"
"2016/01/01 03:00:00","HUD VL","61758","8.92","-0.09","-10.17","4"
"2016/01/01 03:00:00","LONGIL","61762","8.98","-0.12","-10.26","4"
"2016/01/01 03:00:00","MHK VL","61756","0.81","-0.03","-2.01","4"
"2016/01/01 03:00:00","MILLWD","61759","9.06","-0.09","-10.31","4"
"2016/01/01 03:00:00","N.Y.C.","61761","9.01","-0.09","-10.26","4"
"2016/01/01 03:00:00","NORTH","61755","-1.13","0.03","0","4"
"2016/01/01 03:00:00","WEST","61752","0.48","0.04","-1.6","4"
"2016/01/01 04:00:00","CAPITL","61757","2.35","0.12","-0.32","4"
"2016/01/01 04:00:00","CENTRL","61754","1.96","0.01","-0.04","4"
"2016/01/01 04:00:00","DUNWOD","61760","2.31","0.15","-0.24","4"
"2016/01/01 04:00:00","GENESE","61753","1.89","-0.06","-0.03","4"
"2016/01/01 04:00:00","HUD VL","61758","2.3","0.15","-0.24","4"
"2016/01/01 04:00:00","LONGIL","61762","2.36","0.21","-0.24","4"
"2016/01/01 04:00:00","MHK VL","61756","2.01","0.05","-0.05","4"
"2016/01/01 04:00:00","MILLWD","61759","2.31","0.15","-0.24","4"
"2016/01/01 04:00:00","N.Y.C.","61761","2.31","0.16","-0.24","4"
"2016/01/01 04:00:00","NORTH","61755","1.86","-0.05","0","4"
"2016/01/01 04:00:00","WEST","61752","1.87","-0.07","-0.04","4"
"2016/01/01 05:00:00","CAPITL","61757","2.64","0.12","-0.74","3"
"2016/01/01 05:00:00","CENTRL","61754","1.88","0","-0.08","3"
